PooledFundId,AllocationYear,ReportApprovedDate,AllocationTypeId,AllocationSourceId,ClusterId,ClusterBudget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
15,2015,2017-02-16,11,2,11,198000.72,2672.0,6179.0,3140.0,4709.0,2874.0,7269.0,3463.0,4959.0
15,2015,2017-02-19,8,2,10,73536.0,525.0,6325.0,300.0,400.0,600.0,7000.0,350.0,450.0
15,2015,2017-02-19,11,2,4,79998.42,3300.0,7425.0,2475.0,3300.0,2671.0,6010.0,2003.0,2671.0
15,2015,2017-02-19,11,2,7,199978.72,14000.0,23753.0,5569.0,5782.0,15430.0,24005.0,9270.0,9508.0
15,2015,2017-02-19,11,2,10,233830.22,328.0,756.0,384.0,576.0,402.0,813.0,311.0,574.0
15,2015,2017-03-07,11,2,1,198087.03,30.0,15.0,1000.0,950.0,20.0,25.0,1100.0,905.0
15,2015,2017-03-09,11,2,9,320955.92,950.0,1780.0,2230.0,1795.0,914.0,1405.0,2138.0,1402.0
15,2015,2017-03-12,8,2,3,396026.69,280.0,280.0,2873.0,3570.0,368.0,348.0,4397.0,2704.0
15,2015,2017-03-15,11,2,11,369997.03,19001.0,34383.0,18178.0,18920.0,19428.0,35023.0,18320.0,19133.0
15,2015,2017-04-05,11,2,7,384249.947,435.0,6164.0,1145.0,1526.0,371.0,10584.0,668.0,2677.0
15,2015,2017-04-05,11,2,10,340749.953,385.0,5467.0,1015.0,1353.0,329.0,9386.0,592.0,2374.0
15,2015,2017-04-10,9,1,7,547195.539,77306.0,80461.0,83747.0,87166.0,76998.0,78604.0,80993.0,80865.0
15,2015,2017-04-10,9,1,11,281888.611,39824.0,41449.0,43143.0,44904.0,39665.0,40493.0,41724.0,41658.0
15,2015,2017-04-24,8,2,3,792080.02,220.0,222.0,6734.0,6121.0,314.0,121.0,7363.0,7362.0
15,2015,2017-04-24,11,2,3,593673.9839999999,757.0,764.0,7047.0,7065.0,616.0,668.0,12124.0,11375.0
15,2015,2017-04-24,11,2,10,97888.736,34.0,26.0,1048.0,1108.0,34.0,26.0,524.0,892.0
15,2015,2017-05-02,11,2,7,474980.49,29096.0,33946.0,30309.0,27884.0,29125.0,33896.0,30267.0,27749.0
15,2015,2017-05-28,11,2,1,150016.01,80.0,96.0,137.0,140.0,100.0,230.0,708.0,614.0
15,2015,2017-06-06,11,2,4,148113.08,1176.0,1905.0,2681.0,2813.0,1467.0,1905.0,2903.0,2915.0
15,2015,2017-10-09,11,2,11,440199.07,11436.0,12523.0,14703.0,15788.0,12821.0,14042.0,16484.0,17705.0
15,2015,2017-10-17,11,2,1,650000.0,5145.0,6143.0,2205.0,2632.0,7100.0,7477.0,3043.0,3205.0
15,2015,2017-10-18,11,2,2,181025.85,6214.0,10000.0,4500.0,5500.0,6214.0,10000.0,3100.0,3400.0
15,2015,2017-10-18,11,2,3,198000.7,90.0,60.0,1400.0,1600.0,92.0,60.0,1350.0,1650.0
15,2015,2017-10-22,11,2,7,272248.83,21015.0,24161.0,21872.0,22302.0,14378.0,19194.0,17844.0,17312.0
15,2015,2017-11-01,11,2,10,210826.38,6720.0,9740.0,3700.0,4400.0,7168.0,6929.0,5574.0,4225.0
15,2015,2017-12-11,8,2,9,454781.47,8023.0,8412.0,4475.0,5470.0,7892.0,8462.0,3956.0,5500.0
15,2015,2017-12-21,11,2,11,300000.78,8670.0,10930.0,2300.0,3600.0,6125.0,8085.0,5000.0,5290.0
15,2015,2018-01-22,11,2,7,346475.63,8698.0,11481.0,5845.0,8768.0,6550.0,7830.0,6206.0,7520.0
15,2015,2018-02-11,11,2,9,311181.71,1161.0,4386.0,4288.0,5353.0,1558.0,4653.0,4293.0,5084.0
15,2015,2022-03-24,11,2,10,201368.5,5184.0,8746.0,1170.0,1170.0,,,,
15,2016,2016-12-19,14,1,9,266227.13,,,750.0,750.0,,,794.0,906.0
15,2016,2017-01-08,14,1,1,374626.43,2142.0,6854.0,2856.0,2428.0,1520.0,4867.0,2028.0,1724.0
15,2016,2017-02-12,13,2,11,190186.08,153600.0,230400.0,125440.0,130560.0,153400.0,230200.0,125240.0,130360.0
15,2016,2017-02-12,14,1,1,973858.46,14695.0,15082.0,9049.0,11062.0,16214.0,24445.0,4989.0,4240.0
