PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,Budget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls,DisabledMen,DisabledWomen,DisabledBoys,DisabledGirls,ReachedDisabledMen,ReachedDisabledWomen,ReachedDisabledBoys,ReachedDisabledGirls
15,2016,2017-10-19,12,1,406060.44999999995,1423618.0,1441494.0,1524318.0,1593370.0,404000.0,825280.0,422140.0,423640.0,,,,,,,,
15,2016,2017-10-22,13,2,295652.78,101263.0,109701.0,109702.0,118842.0,143000.0,147000.0,70000.0,75000.0,,,,,,,,
15,2016,2017-10-24,13,2,444811.84,1194.0,65773.0,26040.0,27178.0,1699.0,98421.0,21508.0,23092.0,,,,,,,,
15,2016,2017-10-26,13,2,616491.54,2078.0,9071.0,15021.0,16525.0,1045.0,5179.0,9858.0,11024.0,,,,,,,,
15,2016,2017-10-29,13,2,772412.02,71398.0,68599.0,14624.0,14050.0,45725.0,48020.0,40297.0,34629.0,,,,,,,,
15,2016,2017-10-30,13,2,384420.69,7253.0,20347.0,15794.0,16646.0,9490.0,18890.0,18527.0,20222.0,,,,,,,,
15,2016,2017-10-31,13,2,254899.72,11209.0,20020.0,27293.0,29159.0,10301.0,18399.0,25083.0,26797.0,,,,,,,,
15,2016,2017-11-01,13,2,371665.46,140.0,160.0,1881.0,2299.0,160.0,143.0,3621.0,4057.0,,,,,,,,
15,2016,2017-11-02,13,2,282122.73,7389.0,9998.0,11736.0,14344.0,7389.0,9998.0,11736.0,14344.0,,,,,,,,
15,2016,2017-11-05,13,2,148329.82,2141.0,4578.0,3644.0,3644.0,1481.0,8725.0,771.0,1085.0,,,,,,,,
15,2016,2017-11-09,13,2,570000.0,,,27000.0,27000.0,,,30720.0,30720.0,,,,,,,,
15,2016,2017-11-14,13,2,343466.06,270.0,380.0,2317.0,2589.0,787.0,1049.0,4302.0,5520.0,,,,,,,,
15,2016,2017-11-15,14,1,405407.62,,,3787.0,5681.0,,,5390.0,3680.0,,,,,,,,
15,2016,2017-11-16,13,2,186696.02,7802.0,9364.0,17167.0,17687.0,8641.0,12120.0,14200.0,17710.0,,,,,,,,
15,2016,2017-11-19,13,2,302141.20999999996,4311.0,4303.0,5458.0,5264.0,5895.0,5444.0,4945.0,12587.0,,,,,,,,
15,2016,2017-11-20,13,2,735280.56,46109.0,71842.0,59320.0,66999.0,33610.0,59327.0,42278.0,49036.0,,,,,,,,
15,2016,2017-11-21,13,2,833680.8400000001,49937.0,52200.0,43679.0,42333.0,47665.0,50191.0,29022.0,35329.0,,,,,,,,
15,2016,2017-11-22,13,2,273245.9,10961.0,18242.0,33826.0,43774.0,8518.0,17004.0,46872.0,57340.0,,,,,,,,
15,2016,2017-11-23,14,1,1097596.37,2000.0,8000.0,,,2372.0,9486.0,,,,,,,,,,
15,2016,2017-11-26,13,2,240005.28,2390.0,3586.0,9562.0,14342.0,1114.0,1296.0,12673.0,11590.0,,,,,,,,
