PooledFundId,AllocationSourceId,AllocationYear,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude,AdminLocation1Budget,FundType
27,4,2019,Tanganyika,-6.255568,29.510771,,1
27,4,2020,Ituri,1.562489,30.248427,,1
27,4,2020,Nord-Kivu,-1.6882,29.2371,,1
27,4,2020,Sud-Kivu,-2.500021,28.866667,,1
27,4,2020,Tanganyika,-6.255568,29.510771,,1
27,4,2021,Ituri,1.562489,30.248427,,1
27,4,2021,Maniema,-2.949743,25.949989,,1
27,4,2021,Tanganyika,-6.255568,29.510771,,1
27,4,2022,Ituri,1.562489,30.248427,,1
27,4,2022,Nord-Kivu,-1.6882,29.2371,,1
27,4,2022,Sud-Kivu,-2.500021,28.866667,,1
27,4,2022,Tanganyika,-6.255568,29.510771,,1
27,3,2014,Equateur,0.047105,18.271124,,1
27,3,2014,Tshuapa,-0.216463,20.866667,,1
27,3,2016,Ituri,1.562489,30.248427,,1
27,3,2016,Kinshasa,-4.339502,15.309483,,1
27,3,2016,Kwango,-4.866367,16.983376,,1
27,3,2016,Lualaba,-10.716635,25.4725,,1
27,3,2017,Haut-Katanga,-11.659227,27.4741,,1
27,3,2017,Lomami,-6.133365,24.483333,,1
27,3,2017,Sud-Kivu,-2.500021,28.866667,,1
27,3,2017,Tanganyika,-6.255568,29.510771,,1
27,3,2018,Equateur,0.047105,18.271124,,1
27,3,2018,Haut-Katanga,-11.659227,27.4741,,1
27,3,2018,Haut-Lomami,-6.683035,25.8,,1
27,3,2018,Ituri,1.562489,30.248427,,1
27,3,2018,Kwango,-4.866367,16.983376,,1
27,3,2018,Kwilu,-3.298349,17.389665,,1
27,3,2018,Lomami,-6.133365,24.483333,,1
27,3,2018,Maniema,-2.949743,25.949989,,1
27,3,2018,Nord-Kivu,-1.6882,29.2371,,1
27,3,2018,Sud-Kivu,-2.500021,28.866667,,1
27,3,2018,Tanganyika,-6.255568,29.510771,,1
27,3,2019,Ituri,1.562489,30.248427,,1
27,3,2019,Nord-Kivu,-1.6882,29.2371,,1
27,3,2020,Ituri,1.562489,30.248427,,1
27,3,2020,Nord-Kivu,-1.6882,29.2371,,1
27,3,2020,Sud-Kivu,-2.500021,28.866667,,1
