PooledFundId,PooledFundName,PooledFundCodeAbbrv,ContributionCode,FiscalYear,DonorName,DonorCode,GMSDonorID,GMSDonorName,CountryCode,PledgeDate,PledgeAmt,PipeLineDate,PaidDate,PaidAmt,ExpectedDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PledgeAmtLocal,PaidAmtLocal,IsTransfer
71,Lebanon,LBN71,ERF/3604/78053/85505/2026,2026,Government of the United Kingdom (Former DFID),19,9,United Kingdom,GB,3/24/2026 12:00:00 AM,2673796.79,3/24/2026 12:00:00 AM,3/26/2026 12:00:00 AM,2673796.79,1/1/0001 12:00:00 AM,GBP,0.75,GBP,0.75,2000000,2000000,0
71,Lebanon,LBN71,ERF/3604/78082/85555/2026,2026,Government of Norway,12,17,Norway,NO,5/13/2026 12:00:00 AM,1075615.79,4/15/2026 12:00:00 AM,5/22/2026 12:00:00 AM,1084216.77,1/1/0001 12:00:00 AM,NOK,9.48,NOK,9.22,10000000,9999731.31,0
71,Lebanon,LBN71,ERF/3604/78143/85668/2026,2026,Government of Belgium,4,6,Belgium,BE,7/28/2026 12:00:00 AM,2285714.29,5/25/2026 12:00:00 AM,8/12/2026 12:00:00 AM,2301495.97,1/1/0001 12:00:00 AM,EUR,0.85,EUR,0.87,2000000,2000000,0
71,Lebanon,LBN71,ERF/3604/78244/85827/2026,2026,Greece,53,53,Greece,GR,7/29/2026 12:00:00 AM,68571.43,7/29/2026 12:00:00 AM,9/8/2026 12:00:00 AM,68363.99,1/1/0001 12:00:00 AM,EUR,0.88,EUR,0.88,60000,60023.58,0
71,Lebanon,LBN71,ERF/3604/75661/81964/2023,2026,Iceland,55,55,Iceland,IS,4/17/2026 12:00:00 AM,490958.19,6/13/2023 12:00:00 AM,5/8/2026 12:00:00 AM,487173.53,1/1/0001 12:00:00 AM,ISK,139.09,ISK,123.16,60000000,59999804.78,0
71,Lebanon,LBN71,ERF/3604/78260/85852/2026,2026,Government of France,50,50,France,FR,8/20/2026 12:00:00 AM,1153402.54,8/20/2026 12:00:00 AM,1/1/0001 12:00:00 AM,0,1/1/0001 12:00:00 AM,EUR,0.87,EUR,0,1000000,0,0
86,Mali (RhPF-WCA),MLI86,ERF/M_ERF/75626/81921/2023,2026,Government of Germany,7,11,Germany,DE,6/27/2023 12:00:00 AM,3236245.95,5/31/2023 12:00:00 AM,2/25/2026 12:00:00 AM,3567181.92,1/1/0001 12:00:00 AM,EUR,0.92,EUR,0.84,3000000,3000000,0
86,Mali (RhPF-WCA),MLI86,ERF/M_ERF/77800/85543/2025,2026,Government of Luxembourg,10,15,Luxembourg,LU,12/11/2025 12:00:00 AM,347624.57,11/3/2025 12:00:00 AM,4/13/2026 12:00:00 AM,343642.61,1/1/0001 12:00:00 AM,EUR,0.86,EUR,0.87,300000,300000,0
86,Mali (RhPF-WCA),MLI86,ERF/M_ERF/77806/84935/2025,2026,Government of Belgium,4,6,Belgium,BE,12/18/2025 12:00:00 AM,3521126.76,11/3/2025 12:00:00 AM,4/23/2026 12:00:00 AM,3512880.56,1/1/0001 12:00:00 AM,EUR,0.86,EUR,0.85,3000000,3000000,0
86,Mali (RhPF-WCA),MLI86,ERF/M_ERF/78095/85576/2026,2026,Government of Denmark,5,8,Denmark,DK,3/23/2026 12:00:00 AM,1028806.64,3/19/2026 12:00:00 AM,4/16/2026 12:00:00 AM,1046838.1,1/1/0001 12:00:00 AM,DKK,6.48,DKK,6.37,6666667,6666265.01,0
86,Mali (RhPF-WCA),MLI86,ERF/M_ERF/78143/85661/2026,2026,Government of Belgium,4,6,Belgium,BE,7/28/2026 12:00:00 AM,1142857.14,5/25/2026 12:00:00 AM,8/12/2026 12:00:00 AM,1150747.99,1/1/0001 12:00:00 AM,EUR,0.85,EUR,0.87,1000000,1000000,0
